Florian Wirtz, CAM/CM, Liverpool, Germany, Value: 888, https://cdn.sofifa.net/players/256/630/26_180.png, 256630
Michael Olise, RM/RW/CAM, FC Bayern München, France, Value: 874, https://cdn.sofifa.net/players/247/827/26_180.png, 247827
Pedri, CM/CDM/CAM, FC Barcelona, Spain, Value: 898, https://cdn.sofifa.net/players/251/854/26_180.png, 251854
Cole Palmer, CAM/RM/CM, Chelsea, England, Value: 876, https://cdn.sofifa.net/players/257/534/26_180.png, 257534
Joan García, GK, FC Barcelona, Spain, Value: 850, https://cdn.sofifa.net/players/259/532/26_180.png, 259532
Desire Doue, RW/LW/CM/RM, Paris Saint-Germain, France, Value: 862, https://cdn.sofifa.net/players/271/421/26_180.png, 271421
Robert Lewandowski, ST, FC Barcelona, Poland, Value: 880, https://cdn.sofifa.net/players/188/545/26_180.png, 188545
Jamal Musiala, CAM/LM/CM/ST, FC Bayern München, Germany, Value: 888, https://cdn.sofifa.net/players/256/790/26_180.png, 256790
Neymar Jr, CAM/LW, Al Hilal, Brazil, Value: 850, https://cdn.sofifa.net/players/190/871/25_180.png, 190871
Serhou Guirassy, ST, Borussia Dortmund, Guinea, Value: 870, https://cdn.sofifa.net/players/215/441/26_180.png, 215441
Declan Rice, CDM/CM, Arsenal, England, Value: 882, https://cdn.sofifa.net/players/234/378/26_180.png, 234378
Federico Valverde, CM/CDM/RB, Real Madrid, Uruguay, Value: 882, https://cdn.sofifa.net/players/239/053/26_180.png, 239053
Luis Diaz, LM/LW/ST, FC Bayern München, Colombia, Value: 850, https://cdn.sofifa.net/players/241/084/26_180.png, 241084
Sandro Tonali, CDM/CM, Newcastle United, Italy, Value: 864, https://cdn.sofifa.net/players/241/096/26_180.png, 241096
Rodrygo, LM/RM/ST/LW, Real Madrid, Brazil, Value: 850, https://cdn.sofifa.net/players/243/812/26_180.png, 243812
Ryan Gravenberch, CDM/CM, Liverpool, Netherlands, Value: 866, https://cdn.sofifa.net/players/246/104/26_180.png, 246104
Nico Williams, LM/LW, Athletic Club, Spain, Value: 866, https://cdn.sofifa.net/players/256/516/26_180.png, 256516
Bremer, CB, Juventus, Brazil, Value: 852, https://cdn.sofifa.net/players/239/580/26_180.png, 239580
Jules Kounde, RB/CB/RM, FC Barcelona, France, Value: 862, https://cdn.sofifa.net/players/241/486/26_180.png, 241486
Bryan Mbeumo, RW/RM/ST, Manchester United, Cameroon, Value: 852, https://cdn.sofifa.net/players/243/014/26_180.png, 243014
Bukayo Saka, RW/RM, Arsenal, England, Value: 884, https://cdn.sofifa.net/players/246/669/26_180.png, 246669
Alisson, GK, Liverpool, Brazil, Value: 890, https://cdn.sofifa.net/players/212/831/26_180.png, 212831
Ngolo Kante, CDM/CM, Al Ittihad, France, Value: 850, https://cdn.sofifa.net/players/215/914/26_180.png, 215914
Nicolo Barella, CM/CDM, Inter, Italy, Value: 880, https://cdn.sofifa.net/players/224/232/26_180.png, 224232
Lautaro Martinez, ST, Inter, Argentina, Value: 880, https://cdn.sofifa.net/players/231/478/26_180.png, 231478
Rodri, CDM/CM, Manchester City, Spain, Value: 900, https://cdn.sofifa.net/players/231/866/26_180.png, 231866
Karim Benzema, ST/CAM, Al Ittihad, France, Value: 850, https://cdn.sofifa.net/players/165/153/26_180.png, 165153
Toni Kroos, CM/CDM, Free Agent, Germany, Value: 870, https://cdn.sofifa.net/players/182/521/24_180.png, 182521
Emiliano Martinez, GK, Aston Villa, Argentina, Value: 850, https://cdn.sofifa.net/players/202/811/26_180.png, 202811
Marquinhos, CB, Paris Saint-Germain, Brazil, Value: 870, https://cdn.sofifa.net/players/207/865/26_180.png, 207865
Moises Caicedo, CDM/CM, Chelsea, Ecuador, Value: 884, https://cdn.sofifa.net/players/256/079/26_180.png, 256079
Nuno Mendes, LB/LM, Paris Saint-Germain, Portugal, Value: 876, https://cdn.sofifa.net/players/252/145/26_180.png, 252145
William Saliba, CB, Arsenal, France, Value: 884, https://cdn.sofifa.net/players/243/715/26_180.png, 243715
Alessandro Bastoni, CB, Inter, Italy, Value: 874, https://cdn.sofifa.net/players/237/383/26_180.png, 237383
Ibrahima Konate, CB, Liverpool, France, Value: 854, https://cdn.sofifa.net/players/237/678/26_180.png, 237678
Rúben Dias, CB, Manchester City, Portugal, Value: 862, https://cdn.sofifa.net/players/239/818/26_180.png, 239818
Patrik Schick, ST, Bayer 04 Leverkusen, Czechia, Value: 850, https://cdn.sofifa.net/players/234/236/26_180.png, 234236
Diogo Costa, GK, FC Porto, Portugal, Value: 850, https://cdn.sofifa.net/players/234/577/26_180.png, 234577
Gianluigi Donnarumma, GK, Manchester City, Italy, Value: 894, https://cdn.sofifa.net/players/230/621/26_180.png, 230621
Victor Osimhen, ST, Galatasaray SK, Nigeria, Value: 874, https://cdn.sofifa.net/players/232/293/26_180.png, 232293
Gabriel, CB, Arsenal, Brazil, Value: 892, https://cdn.sofifa.net/players/232/580/26_180.png, 232580
Federico Dimarco, LB/LM, Inter, Italy, Value: 850, https://cdn.sofifa.net/players/226/268/26_180.png, 226268
Christian Pulisic, RW/RM/ST, AC Milan, United States, Value: 850, https://cdn.sofifa.net/players/227/796/26_180.png, 227796
Marcus Thuram, ST, Inter, France, Value: 850, https://cdn.sofifa.net/players/228/093/26_180.png, 228093
Mike Maignan, GK, AC Milan, France, Value: 872, https://cdn.sofifa.net/players/215/698/26_180.png, 215698
Youri Tielemans, CM/CDM/CAM, Aston Villa, Belgium, Value: 850, https://cdn.sofifa.net/players/216/393/26_180.png, 216393
Ederson, GK, Fenerbahçe SK, Brazil, Value: 850, https://cdn.sofifa.net/players/210/257/26_180.png, 210257
Paulo Dybala, CAM/ST, Roma, Argentina, Value: 850, https://cdn.sofifa.net/players/211/110/26_180.png, 211110
Harry Kane, ST, FC Bayern München, England, Value: 890, https://cdn.sofifa.net/players/202/126/26_180.png, 202126
Carvajal, RB/RM, Real Madrid, Spain, Value: 850, https://cdn.sofifa.net/players/204/963/26_180.png, 204963
Marc Andre Ter Stegen, GK, FC Barcelona, Germany, Value: 850, https://cdn.sofifa.net/players/192/448/26_180.png, 192448
Sergio Aguero, ST, FC Barcelona, Argentina, Value: 870, https://cdn.sofifa.net/players/153/079/22_180.png, 153079
